price,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,district,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,tv,coffe_machine,dishwasher,terrace,bathtub
150,4,2,1,30,86,Friedrichshain-Kreuzberg,within an hour,80,yes,1,10,9,10,9,10,9,yes,yes,no,no,yes,no
37,2,1,1,7,10,Friedrichshain-Kreuzberg,within a few hours,100,yes,2,10,9,10,10,10,9,yes,no,no,no,no,no
23,2,1,1,12,33,Friedrichshain-Kreuzberg,within an hour,100,yes,2,10,9,10,10,10,9,no,no,no,no,no,no
40,2,1,1.5,0,7,Mitte,within an hour,100,yes,3,10,10,10,10,10,10,yes,no,yes,yes,yes,yes
80,4,1,2.5,60,0,Pankow,within an hour,100,yes,2,10,10,10,10,10,10,yes,yes,yes,yes,yes,yes
75,2,1,1,30,87,Marzahn - Hellersdorf,within an hour,90,no,1,10,10,9,10,9,10,yes,yes,yes,yes,yes,yes
45,1,1,1,15,90,Tempelhof - Schöneberg,within a day,75,no,3,9,8,10,9,10,7,no,no,no,no,yes,no
95,2,1,1,40,19,Friedrichshain-Kreuzberg,within an hour,100,no,2,10,10,10,10,10,9,yes,no,yes,yes,no,no
36,2,1,2.5,5,4,Neukölln,within a day,75,no,1,10,10,9,10,10,10,yes,no,no,no,no,no
40,3,1,1,0,18,Mitte,within a few hours,100,no,1,10,10,10,10,10,10,yes,yes,yes,yes,yes,yes
60,2,1,1,40,9,Friedrichshain-Kreuzberg,within a day,80,yes,3,10,9,10,10,10,10,yes,no,no,no,no,no
50,2,1,1,25,0,Pankow,within a day,100,no,2,9,9,10,10,10,10,yes,no,yes,no,no,no
110,6,3,2,50,8,Treptow - Köpenick,within an hour,100,yes,2,10,10,10,10,10,10,yes,yes,yes,yes,no,no
20,2,1,1,25,0,Friedrichshain-Kreuzberg,within a day,100,yes,2,10,10,10,10,10,10,yes,yes,yes,no,yes,no
45,2,1,1,10,84,Charlottenburg-Wilm.,within a day,100,no,1,10,10,10,10,10,10,yes,yes,no,no,no,no
